Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.128,0.130,0.130,0.135,0.200,4,8.0,8.0,8.0,8,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,0.0,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,0.0,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,163,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,145,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,HTTP Error 502: Bad Gateway,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,1.029,44.84,1.0,1.0,impossible to verify,['http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/'],True
2022-07-31,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.127,0.132,0.133,0.136,0.168,8,8.0,8.0,8.0,8,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,0.0,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,0.0,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,175,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,145,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,HTTP Error 502: Bad Gateway,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.979,0.26,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-08-07,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,absent,0.75,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.135,0.135,0.137,0.157,0.180,7,7.0,7.0,8.0,8,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,0.0,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,0.0,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,182,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,145,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,HTTP Error 502: Bad Gateway,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.967,0.26,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-08-21,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.131,0.137,0.139,0.146,0.212,8,8.0,8.0,8.0,8,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,0.0,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,0.0,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,196,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,145,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,HTTP Error 502: Bad Gateway,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.979,43.05,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-08-28,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.133,0.134,0.140,0.153,0.267,5,7.0,7.0,8.0,8,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,0.0,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,0.0,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,204,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,145,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,HTTP Error 502: Bad Gateway,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.979,43.05,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-09-04,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.139,0.141,0.144,0.145,0.167,6,7.0,7.0,7.0,8,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,-,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,-,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,211,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,<built-in method strip of str object at 0x7f2d7e215ac0>,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.929,0.3,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-09-11,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.132,0.137,0.139,0.141,0.155,6,7.0,7.0,7.0,8,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,-,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,-,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,218,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,<built-in method strip of str object at 0x7f0eef9ae880>,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.929,0.3,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-09-18,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.123,0.127,0.137,0.321,2.106,5,6.0,6.0,7.0,7,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,-,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,-,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,225,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,<built-in method strip of str object at 0x7f2163e4e880>,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.929,35.06,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-10-02,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.134,0.152,0.155,0.158,0.171,6,6.0,6.0,7.0,7,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,-,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,-,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,239,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,<built-in method strip of str object at 0x7f3dcf5e5ed0>,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.929,35.06,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
2022-10-09,1,0,False,False,statistics.data.gov.uk,Linked data about administrative areas used within UK government official statistics.The various areas are typed using classes in the following namespaces:* http://data.ordnancesurvey.co.uk/ontology/admingeo/* http://statistics.data.gov.uk/def/administrative-geography/* http://statistics.data.gov.uk/def/geography/,http://statistics.data.gov.uk/,True,1.0,38,0.016,0.020,0,188619483,statisticsdatagovuk,0.134,0.146,0.148,0.183,0.184,6,6.0,6.0,6.0,7,False,True,[],HTTP Error 502: Bad Gateway,http://statistics.data.gov.uk//sparql,Not provided,-,-,-,3610245,-,-,1.0,1.0,Impossible to retrieve the terms defined in the dataset,1.0,-,0.005600851725718146,Not indicated,https://www.ons.gov.uk/; Alistair Miles; Sean Bechhofer; OGC GeoSPARQL 1.0 Standard Working Group; Open Geospatial Consortium,Not indicated,"Dave Beckett; Nikki Rogers; ""Participants in W3Cs Semantic Web Deployment Working Group.""",Web:http://statistics.data.gov.uk/ Name:Data.gov.uk Team Email:team@data.gov.uk,False,not indicated,2018-10-26,2022-02-11,insufficient data,246,insufficient data,1.0 (out of 143 triples considered),0.00,32284,Insufficient data,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,22,43.0,59.0,69.0,95,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,http://statistics.data.gov.uk/def/statistical-geography#Statistical-Geography; http://statistics.data.gov.uk/def/statistical-entity#Statistical-Entity; http://publishmydata.com/def/ontology/foi/AreaCollectionEngland; http://publishmydata.com/def/ontology/foi/AreaCollectionOther; http://publishmydata.com/def/ontology/foi/AreaCollectionNorthernIreland; http://publishmydata.com/def/ontology/foi/AreaCollectionScotland; http://publishmydata.com/def/ontology/foi/AreaCollectionWales; http://publishmydata.com/def/dataset#Dataset; http://publishmydata.com/def/dataset#LinkedDataset; http://statistics.data.gov.uk/def/postcode/unit; http://publishmydata.com/def/ontology/foi/Feature,3610245,No regex provided,True,<built-in method strip of str object at 0x7fec4c4ff0f0>,True,2018-10-26|0; 2018-11-16|0; 2018-11-19|0; 2019-06-23|0; 2019-06-24|0; 2020-09-28|0; 2020-10-13|0; 2020-10-19|0; 2020-10-21|0; 2022-02-11|0,0.929,35.06,1.0,1.0,impossible to verify,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,True
