Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.537,44.76,-,-,endpoint absent,endpoint absent,False
2022-07-31,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,0.13,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,absent,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,0.13,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.387,17.02,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,21.42,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,endpoint absent,True
2022-09-11,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,0.16,-,-,endpoint absent,endpoint absent,True
2022-09-18,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,endpoint absent,True
2022-10-02,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,1,Creative Commons Attribution Share-Alike - cc-by-sa -,-,Near,"The Near dataset provides ""near"" links connecting points of interest that are geographically close to each other. The data set currently cross-links items in DBpedia- Geonames and Edubase.*Note* this dataset is no longer updated- it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",http://beta.kasabi.com/dataset/near,False,0.75,9,0.028,0.005,-,335022481,near,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,http://archive.org/download/kasabi/near.gz,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.128979813033464e-05,endpoint absent,Name: Tom Heath; Email:tom.heath@theodi.org,endpoint absent,endpoint absent,Web:http://beta.kasabi.com/dataset/near Name:Tom Heath Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.00,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.487,18.38,-,-,endpoint absent,endpoint absent,True
