Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,-1,0,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,44.74,-,-,endpoint absent,endpoint absent,True
2022-07-31,-1,0,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,0.1,-,-,endpoint absent,endpoint absent,True
2022-08-07,-1,0,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,absent,0.75,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.361,0.1,-,-,endpoint absent,endpoint absent,True
2022-08-21,-1,0,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,16.45,-,-,endpoint absent,endpoint absent,True
2022-08-28,-1,0,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,16.45,-,-,endpoint absent,endpoint absent,True
2022-09-04,-1,-1,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,0.0,-,-,endpoint absent,endpoint absent,True
2022-09-11,-1,-1,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,0.12,-,-,endpoint absent,endpoint absent,True
2022-09-18,-1,-1,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,14.11,-,-,endpoint absent,endpoint absent,True
2022-10-02,-1,-1,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,14.11,-,-,endpoint absent,endpoint absent,True
2022-10-09,-1,-1,Other (Open) - other-open -,-,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,http://bioportal.bioontology.org/ontologies/1572,True,1.0,30,1.000,0.016,-,2697,bioportaltmsignsandsympts,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,9.464855220749832e-05,endpoint absent,Name: BioPortal project on behalf of ontology owner.; Email:support@bioontology.org,endpoint absent,endpoint absent,Web:http://bioportal.bioontology.org/ontologies/1572 Name:Tania Tudorache Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.48,1307,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,insufficient data,0.374,14.11,-,-,endpoint absent,endpoint absent,True
