Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,License MR,Inactive links
2022-07-18,1,0,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,4092878777,babelnet,4.163,4.168,4.169,4.235,7.464,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,0.05,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.627,44.78,-,-,True,Could not process formulated query on indicated enpdoint,True
2022-07-31,1,0,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,4092878777,babelnet,4.169,4.169,4.173,4.181,4.268,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,0.05,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.627,0.17,-,-,True,Could not process formulated query on indicated enpdoint,True
2022-08-07,1,0,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,absent,0.5,38,0.047,0.020,-,3456497084,babelnet,4.172,4.175,4.178,4.180,4.267,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,0.06,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.627,0.17,-,-,True,Could not process formulated query on indicated enpdoint,True
2022-08-21,1,0,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,1971744856,babelnet,4.172,4.176,4.234,4.267,4.271,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,-,-,-,Impossible to retrieve the terms defined in the dataset,-,-,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,insufficient data,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.624,27.44,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-08-28,1,0,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,4092878777,babelnet,4.171,4.173,4.178,4.191,4.239,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,0.0,1.0,-,Impossible to retrieve the terms defined in the dataset,0.0,0.0,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,0.05,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.627,27.57,-,-,True,Could not process formulated query on indicated enpdoint,True
2022-09-04,1,-1,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,4092878777,babelnet,4.169,4.170,4.172,4.173,4.177,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,0.05,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.627,0.0,-,-,True,Could not process formulated query on indicated enpdoint,True
2022-09-11,1,-1,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,4092878777,babelnet,4.174,4.210,4.227,4.233,4.235,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,0.05,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.627,0.2,-,-,True,Could not process formulated query on indicated enpdoint,True
2022-09-18,1,-1,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,4092878777,babelnet,4.181,4.187,4.248,4.273,4.274,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,-,1.0,-,Impossible to retrieve the terms defined in the dataset,-,-,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,0.05,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.627,23.66,-,-,True,Could not process formulated query on indicated enpdoint,True
2022-10-02,1,-1,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,1971744856,babelnet,4.154,4.159,4.169,4.171,8.100,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,-,-,-,Impossible to retrieve the terms defined in the dataset,-,-,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,insufficient data,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.624,23.55,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,True
2022-10-09,1,-1,Other (Non-Commercial) - other-nc -,Query fails on endpoint,BabelNet,BabelNet is both a multilingual encyclopedic dictionary- with lexicographic and encyclopedic coverage of terms- and an ontology which connects concepts and named entities in a very large network of semantic relations- made up of 13-801-844 millions of nodes- called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses- as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/- Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license- Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license- OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher- ItalWordNet: Open Data Commons Attribution 1.0 License- and Open Multilingual WordNet: different licenses according to the language- as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable- specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.,Absent,False,0.5,38,0.047,0.020,-,1971744856,babelnet,4.187,4.191,4.195,4.213,4.225,1,1.0,1.0,1.0,1,False,True,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,https://babelnet.org/sparql/,Not provided,-,-,1.0,Could not process formulated query on indicated enpdoint,-,-,-,-,Impossible to retrieve the terms defined in the dataset,-,-,0.02349726456635809,Could not process formulated query on indicated enpdoint,Name: BabelNet Team - http://babelnet.org/about; Email:cecconi@di.uniroma1.it,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,Web:Absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,False,Could not process formulated query on indicated enpdoint,-,-,insufficient data,insufficient data,0.9856 (out of 5000 triples considered),Could not process formulated query on indicated endpoint,insufficient data,197625567,Insufficient data,Could not process formulated query on indicated enpdoint,24,44.0,44.0,44.0,101,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,No new vocabulary defined,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated enpdoint,Could not process formulated query on indicated enpdoint,False,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint.,Could not process formulated query on indicated endpoint,0.624,23.55,-,-,impossible to verify,Could not process formulated query on indicated enpdoint,True
